bus,baseline_voltage_pu,pv_voltage_pu,voltage_change_pu
1,1,1,0
2,0.99703225977453,0.997503615927721,0.000471356153190827
3,0.982937983682626,0.9859315221166,0.00299353843397321
4,0.975456413684889,0.980316220739427,0.0048598070545377
5,0.968059233002662,0.974863212929647,0.00680397992698456
6,0.949658178514335,0.960697049442993,0.0110388709286581
7,0.946172614719072,0.958178625504972,0.0120060107858999
8,0.941328438548055,0.956868033075198,0.015539594527143
9,0.935059373695426,0.955705884708632,0.0206465110132059
10,0.929244424285363,0.955061210235522,0.0258167859501586
11,0.928384418882556,0.955171585131495,0.0267871662489393
12,0.926884838513064,0.955516579520664,0.0286317410076005
13,0.92077174952993,0.95662885669749,0.0358571071675597
14,0.918504994826075,0.957020928200746,0.0385159333746707
15,0.917092682224422,0.958481976241702,0.0413892940172793
16,0.915724762234255,0.960734288632652,0.0450095263983964
17,0.913697548384138,0.964947249265715,0.051249700881577
18,0.913090481608195,0.967877044363248,0.054786562755053
19,0.996503895700036,0.996975503627666,0.000471607927630346
20,0.992926299576931,0.993399615462444,0.00047331588551347
21,0.992221795866107,0.992695448223847,0.000473652357739218
22,0.991584376903329,0.992058333848371,0.00047395694504293
23,0.979352257625171,0.982356940690037,0.00300468306486601
24,0.97268110126251,0.975706551878611,0.00302545061610149
25,0.969356112749829,0.97239194581861,0.00303583306878086
26,0.947728911303978,0.958791317393187,0.0110624060892096
27,0.945165165477088,0.956258919218391,0.0110937537413027
28,0.93372558247955,0.944959259017758,0.0112336765382079
29,0.925507480159186,0.936841785646837,0.0113343054876511
30,0.921950059773881,0.933327999297658,0.0113779395237776
31,0.917788889111082,0.929218113187471,0.0114292240763888
32,0.91687346778372,0.928313977153846,0.0114405093701263
33,0.916589824191174,0.928033831496692,0.0114440073055185
